idTransaccion,nombre_origen,nombre_destino,fecha,importe
1,Xander Welch,Jael Thomas,2022-11-16,62887.96
2,Travis Pittman,Zane Dillon,2024-01-30,88648.31
3,Tanisha Roman,Wayne Singleton,2023-03-09,22266.88
4,Arsenio Anderson,Kareem Chavez,2022-07-16,26942.58
5,Neve Knox,Colby Hammond,2022-10-09,514.02
6,Eugenia Hogan,Howard Holt,2023-05-12,17760.41
7,Caldwell Foreman,Thor Ayers,2023-11-27,41061.35
8,Kristen Cochran,Melanie Vincent,2023-04-11,97460.01
9,Sade Cain,Shay Holcomb,2023-08-23,62678.93
10,Quinn Beard,Callum Leach,2023-04-24,95032.52
11,Ezra Horne,Abel Deleon,2022-10-08,96254.7
12,Myra Small,Herrod Tillman,2023-12-08,36156.68
13,Philip Mcclure,Bell Kinney,2023-01-21,59693.1
14,Marsden Sharpe,Morgan Duran,2023-03-21,72519.51
15,Melinda Hale,Isabella Parker,2022-07-24,31088.25
16,Kirk Gould,Abel Mcfarland,2024-05-22,76097.13
17,Quintessa Barton,Buckminster Hays,2022-06-22,16284.51
18,Alyssa Ward,Jayme Sanford,2024-02-05,25206.83
19,Helen Gray,Quail Whitley,2022-10-25,95077.6
20,Dahlia Kelley,Judith Mcclure,2022-12-13,71412.15
21,Gail Lara,Rowan Craft,2024-03-28,91416.56
22,Jessica Moses,Wing Hall,2024-04-26,83719.47
23,Ulysses Mack,Reed Goodman,2023-12-12,49821.4
24,Berk Craft,Virginia Murphy,2024-05-09,68832.25
25,Amir Parrish,Mohammad Joyce,2023-05-27,52099.74
26,Duncan Schroeder,Gannon Reese,2023-06-05,54614.78
27,Edward Cochran,Chantale Jenkins,2022-10-26,17132.44
28,Alden Stevenson,Fletcher Figueroa,2022-06-30,80505.29
29,Beau Dorsey,Frances Chan,2023-07-12,54133.6
30,Tatiana Moran,Yvette Stafford,2023-12-28,90433.12
31,Denton Avila,Kennan Smith,2023-02-03,77428.01
32,Quemby Hansen,Vielka Carrillo,2022-12-29,9224.54
33,Sylvester Burton,Xandra Beach,2023-07-03,25365.93
34,Allen Madden,Quentin Mccullough,2022-11-19,94456.7
35,Jessica Hahn,Reed Deleon,2023-03-21,33078.89
36,Farrah Ratliff,Mohammad Buckner,2023-12-04,30842.84
37,Theodore Hebert,Mallory Church,2022-07-27,3112.26
38,Jenette Ballard,Whilemina Snyder,2024-01-25,50838.67
39,Mechelle Blackwell,Abdul Williamson,2022-09-19,10193.56
40,Caldwell Paul,Yen Baldwin,2023-12-10,96872.76
41,Cheyenne Bryant,Kelsie Ayala,2024-02-10,90739.79
42,Melanie Gibbs,Jordan Ramos,2023-11-19,80235.45
43,Kane Cummings,Rachel Fry,2023-08-17,4079
44,Brittany Logan,Raphael Weiss,2024-05-08,14088.06
45,Derek Sandoval,Abra Dotson,2023-03-29,45218.4
46,Sawyer Fowler,Keaton Harrell,2023-12-19,6480.09
47,Reece Swanson,Lucas Orr,2023-10-21,24010.39
48,Rosalyn Burke,Libby Diaz,2023-02-07,74283.72
49,Lila Simpson,Kylee Wall,2022-12-26,27749.85
50,Maite Reyes,Kiona Mcgowan,2023-10-02,21514.44
51,Kessie Wilkinson,Brielle Heath,2022-09-10,17531.11
52,Ishmael Thomas,Lucian Tucker,2024-04-05,4148.45
53,Nora Reynolds,Kibo Figueroa,2024-05-17,20210.75
54,Kenneth Hogan,Cassandra Fernandez,2022-11-22,31416.81
55,Rafael Wolfe,Nehru Lawrence,2022-11-23,9574.14
56,Ira Richardson,Joseph Petersen,2023-01-13,16235.77
